日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,3.17,3.18,3.2,3.16,220640,70145734.0,1.27,1.27,0.04,1.13
2020-01-03,3.19,3.2,3.2,3.16,196543,62685356.0,1.26,0.63,0.02,1.01
2020-01-06,3.19,3.39,3.47,3.18,780259,261606309.0,9.06,5.94,0.19,3.64
2020-01-07,3.41,3.44,3.52,3.39,593797,204942343.0,3.83,1.47,0.05,2.77
2020-01-08,3.42,3.41,3.49,3.4,442950,152326654.0,2.62,-0.87,-0.03,2.06
2020-01-09,3.48,3.59,3.66,3.48,633277,226529789.0,5.28,5.28,0.18,2.95
2020-01-10,3.58,3.51,3.72,3.51,776283,279556800.0,5.85,-2.23,-0.08,3.62
2020-01-13,3.57,3.86,3.86,3.56,1134825,426885568.0,8.55,9.97,0.35,5.29
2020-01-14,4.05,3.9,4.24,3.88,1950022,786099808.0,9.33,1.04,0.04,9.09
2020-01-15,3.88,3.94,4.01,3.83,873266,341403232.0,4.62,1.03,0.04,4.07
2020-01-16,3.92,3.82,3.96,3.81,547663,211006152.0,3.81,-3.05,-0.12,2.55
2020-01-17,3.83,3.73,3.84,3.68,556670,208334907.0,4.19,-2.36,-0.09,2.59
2020-01-20,3.72,3.68,3.73,3.62,477441,175326396.0,2.95,-1.34,-0.05,2.22
2020-01-21,3.75,3.88,3.97,3.7,799852,308541136.0,7.34,5.43,0.2,3.73
2020-01-22,3.94,3.87,3.94,3.7,497707,191244582.0,6.19,-0.26,-0.01,2.32
2020-01-23,3.82,3.8,3.86,3.66,390577,147369201.0,5.17,-1.81,-0.07,1.82
2020-02-03,3.42,3.42,3.42,3.42,67844,23202648.0,0.0,-10.0,-0.38,0.32
2020-02-04,3.08,3.32,3.42,3.08,641428,210975100.0,9.94,-2.92,-0.1,2.99
2020-02-05,3.33,3.34,3.45,3.29,444685,150010472.0,4.82,0.6,0.02,2.07
2020-02-06,3.35,3.39,3.41,3.27,444132,148498164.0,4.19,1.5,0.05,2.07
2020-02-07,3.35,3.38,3.39,3.32,325031,108949398.0,2.06,-0.29,-0.01,1.51
2020-02-10,3.35,3.54,3.55,3.33,510627,177373399.0,6.51,4.73,0.16,2.38
2020-02-11,3.58,3.49,3.58,3.48,317391,111254354.0,2.82,-1.41,-0.05,1.48
2020-02-12,3.48,3.52,3.52,3.44,321996,112485143.0,2.29,0.86,0.03,1.5
2020-02-13,3.51,3.44,3.52,3.42,307068,106306635.0,2.84,-2.27,-0.08,1.43
2020-02-14,3.41,3.4,3.45,3.39,274715,93946993.0,1.74,-1.16,-0.04,1.28
2020-02-17,3.39,3.49,3.5,3.37,361094,124988191.0,3.82,2.65,0.09,1.68
2020-02-18,3.53,3.59,3.63,3.49,431166,153805776.0,4.01,2.87,0.1,2.01
2020-02-19,3.58,3.95,3.95,3.54,1368409,530823968.0,11.42,10.03,0.36,6.38
2020-02-20,3.92,3.97,4.07,3.82,1092507,430608208.0,6.33,0.51,0.02,5.09
2020-02-21,3.95,4.11,4.17,3.9,1094742,436964928.0,6.8,3.53,0.14,5.1
2020-02-24,4.08,4.13,4.2,3.98,860216,352820384.0,5.35,0.49,0.02,4.01
2020-02-25,4.01,4.03,4.08,3.82,791036,315887744.0,6.3,-2.42,-0.1,3.69
2020-02-26,4.03,3.96,4.11,3.92,607272,244447874.0,4.71,-1.74,-0.07,2.83
2020-02-27,3.96,3.92,4.06,3.92,438843,174351535.0,3.54,-1.01,-0.04,2.04
2020-02-28,3.83,3.82,4.03,3.78,651010,254365760.0,6.38,-2.55,-0.1,3.03
2020-03-02,3.88,3.98,4.0,3.87,452531,178865766.0,3.4,4.19,0.16,2.11
