日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-02,5.93,5.95,5.98,5.89,40597,24134944.0,1.53,1.02,0.06,0.62
2020-01-03,5.98,5.96,5.99,5.92,31460,18719988.0,1.18,0.17,0.01,0.48
2020-01-06,5.91,6.07,6.08,5.9,70670,42501433.0,3.02,1.85,0.11,1.08
2020-01-07,6.05,6.1,6.13,6.05,43533,26479937.0,1.32,0.49,0.03,0.66
2020-01-08,6.05,5.95,6.1,5.92,57805,34697866.0,2.95,-2.46,-0.15,0.88
2020-01-09,5.99,6.06,6.06,5.95,43487,26209985.0,1.85,1.85,0.11,0.66
2020-01-10,6.07,6.04,6.09,5.99,29216,17636073.0,1.65,-0.33,-0.02,0.45
2020-01-13,6.04,6.16,6.18,6.0,56084,34219074.0,2.98,1.99,0.12,0.86
2020-01-14,6.16,6.15,6.19,6.11,44074,27086798.0,1.3,-0.16,-0.01,0.67
2020-01-15,6.16,6.06,6.17,6.01,36508,22140422.0,2.6,-1.46,-0.09,0.56
2020-01-16,6.08,6.01,6.12,5.99,30725,18538336.0,2.15,-0.83,-0.05,0.47
2020-01-17,6.03,6.16,6.23,6.03,84837,52177338.0,3.33,2.5,0.15,1.29
2020-01-20,6.16,6.17,6.22,6.11,48882,30034694.0,1.79,0.16,0.01,0.75
2020-01-21,6.15,6.03,6.17,6.01,52251,31598956.0,2.59,-2.27,-0.14,0.8
2020-01-22,6.0,6.02,6.05,5.88,44079,26329086.0,2.82,-0.17,-0.01,0.67
2020-01-23,6.02,5.83,6.02,5.8,49157,28947642.0,3.65,-3.16,-0.19,0.75
2020-02-03,5.25,5.25,5.26,5.25,32702,17168650.0,0.17,-9.95,-0.58,0.5
2020-02-04,4.96,5.18,5.28,4.96,57756,29877050.0,6.1,-1.33,-0.07,0.88
2020-02-05,5.21,5.2,5.32,5.14,59905,31371859.0,3.47,0.39,0.02,0.91
2020-02-06,5.2,5.23,5.28,5.1,46823,24401296.0,3.46,0.58,0.03,0.71
