day,open,high,low,close,volume
2024-05-21 13:37:00,3.38,3.38,3.37,3.38,700
2024-05-21 13:38:00,3.37,3.37,3.37,3.37,3900
2024-05-21 13:39:00,3.37,3.37,3.37,3.37,1900
2024-05-21 13:40:00,3.37,3.38,3.37,3.38,18400
2024-05-21 13:41:00,3.37,3.38,3.37,3.38,2800
2024-05-21 13:42:00,3.38,3.38,3.37,3.37,5500
2024-05-21 13:43:00,3.38,3.38,3.38,3.38,7000
2024-05-21 13:44:00,3.38,3.38,3.37,3.37,19400
2024-05-21 13:45:00,3.38,3.38,3.37,3.37,1000
2024-05-21 13:46:00,3.38,3.38,3.37,3.38,12500
2024-05-21 13:47:00,3.37,3.38,3.37,3.38,59500
2024-05-21 13:48:00,3.37,3.37,3.37,3.37,5400
2024-05-21 13:49:00,3.38,3.38,3.37,3.37,69100
2024-05-21 13:50:00,3.37,3.38,3.37,3.38,10300
2024-05-21 13:51:00,3.38,3.38,3.37,3.37,8500
2024-05-21 13:52:00,3.37,3.38,3.37,3.37,27900
2024-05-21 13:53:00,3.37,3.37,3.37,3.37,26800
2024-05-21 13:54:00,3.37,3.38,3.37,3.37,5100
2024-05-21 13:55:00,3.37,3.38,3.36,3.38,139900
2024-05-21 13:56:00,3.37,3.38,3.37,3.38,73200
2024-05-21 13:57:00,3.38,3.38,3.37,3.38,19900
2024-05-21 13:58:00,3.37,3.37,3.37,3.37,800
2024-05-21 13:59:00,3.37,3.38,3.36,3.38,88500
2024-05-21 14:00:00,3.37,3.38,3.37,3.37,6800
2024-05-21 14:01:00,3.37,3.37,3.36,3.37,18000
2024-05-21 14:02:00,3.37,3.37,3.37,3.37,3800
2024-05-21 14:03:00,3.37,3.38,3.37,3.37,11200
2024-05-21 14:04:00,3.37,3.37,3.37,3.37,23500
2024-05-21 14:05:00,3.37,3.37,3.36,3.36,74200
2024-05-21 14:06:00,3.37,3.38,3.37,3.38,149100
2024-05-21 14:07:00,3.39,3.39,3.38,3.38,37100
2024-05-21 14:08:00,3.38,3.39,3.38,3.38,7300
2024-05-21 14:09:00,3.38,3.39,3.38,3.39,3900
2024-05-21 14:10:00,3.39,3.39,3.38,3.38,1300
2024-05-21 14:11:00,3.39,3.39,3.38,3.38,4300
2024-05-21 14:12:00,3.38,3.39,3.38,3.38,17000
2024-05-21 14:13:00,3.38,3.38,3.37,3.38,101900
2024-05-21 14:14:00,3.38,3.39,3.37,3.38,303700
2024-05-21 14:15:00,3.39,3.42,3.39,3.42,679800
2024-05-21 14:16:00,3.41,3.43,3.41,3.43,451200
2024-05-21 14:17:00,3.43,3.43,3.41,3.42,372400
2024-05-21 14:18:00,3.42,3.42,3.41,3.41,27600
2024-05-21 14:19:00,3.41,3.43,3.41,3.43,322500
2024-05-21 14:20:00,3.42,3.43,3.42,3.42,181900
2024-05-21 14:21:00,3.42,3.43,3.41,3.41,80200
2024-05-21 14:22:00,3.42,3.43,3.41,3.42,65200
2024-05-21 14:23:00,3.43,3.43,3.41,3.42,226000
2024-05-21 14:24:00,3.42,3.42,3.41,3.42,81200
2024-05-21 14:25:00,3.41,3.42,3.41,3.41,39900
2024-05-21 14:26:00,3.41,3.42,3.41,3.41,25700
