day,open,high,low,close,volume
2024-05-21 13:53:00,8.59,8.59,8.59,8.59,44900
2024-05-21 13:54:00,8.59,8.6,8.59,8.6,20800
2024-05-21 13:55:00,8.59,8.61,8.59,8.61,77800
2024-05-21 13:56:00,8.6,8.61,8.6,8.6,22300
2024-05-21 13:57:00,8.6,8.6,8.6,8.6,40000
2024-05-21 13:58:00,8.6,8.6,8.58,8.59,87400
2024-05-21 13:59:00,8.59,8.61,8.59,8.6,86000
2024-05-21 14:00:00,8.61,8.63,8.61,8.61,115800
2024-05-21 14:01:00,8.61,8.62,8.61,8.61,23300
2024-05-21 14:02:00,8.61,8.62,8.6,8.61,25400
2024-05-21 14:03:00,8.61,8.62,8.6,8.6,38500
2024-05-21 14:04:00,8.6,8.62,8.59,8.61,72100
2024-05-21 14:05:00,8.61,8.62,8.6,8.61,57900
2024-05-21 14:06:00,8.6,8.61,8.6,8.61,27400
2024-05-21 14:07:00,8.61,8.62,8.61,8.61,34500
2024-05-21 14:08:00,8.61,8.61,8.6,8.6,16300
2024-05-21 14:09:00,8.6,8.61,8.6,8.61,2400
2024-05-21 14:10:00,8.6,8.61,8.6,8.6,28700
2024-05-21 14:11:00,8.6,8.61,8.59,8.59,80800
2024-05-21 14:12:00,8.6,8.6,8.59,8.6,48100
2024-05-21 14:13:00,8.6,8.6,8.59,8.6,33900
2024-05-21 14:14:00,8.6,8.61,8.6,8.61,23600
2024-05-21 14:15:00,8.6,8.61,8.6,8.6,50300
2024-05-21 14:16:00,8.6,8.61,8.6,8.61,68300
2024-05-21 14:17:00,8.6,8.61,8.6,8.6,43400
2024-05-21 14:18:00,8.61,8.61,8.59,8.6,32800
2024-05-21 14:19:00,8.59,8.6,8.59,8.6,90800
2024-05-21 14:20:00,8.59,8.6,8.59,8.59,56600
2024-05-21 14:21:00,8.59,8.6,8.58,8.59,43000
2024-05-21 14:22:00,8.59,8.59,8.58,8.59,113400
2024-05-21 14:23:00,8.58,8.59,8.58,8.59,32000
2024-05-21 14:24:00,8.59,8.59,8.58,8.59,27800
2024-05-21 14:25:00,8.59,8.6,8.58,8.6,66200
2024-05-21 14:26:00,8.6,8.6,8.59,8.59,40000
2024-05-21 14:27:00,8.59,8.6,8.59,8.59,48000
2024-05-21 14:28:00,8.59,8.6,8.59,8.59,21900
2024-05-21 14:29:00,8.6,8.6,8.59,8.59,34800
2024-05-21 14:30:00,8.6,8.6,8.58,8.58,88600
2024-05-21 14:31:00,8.58,8.6,8.58,8.59,61800
2024-05-21 14:32:00,8.59,8.6,8.59,8.59,11200
2024-05-21 14:33:00,8.59,8.6,8.59,8.59,45700
2024-05-21 14:34:00,8.59,8.6,8.59,8.59,22300
2024-05-21 14:35:00,8.59,8.6,8.59,8.6,78200
2024-05-21 14:36:00,8.59,8.6,8.59,8.6,38800
2024-05-21 14:37:00,8.6,8.61,8.59,8.61,136100
2024-05-21 14:38:00,8.61,8.61,8.6,8.6,68500
2024-05-21 14:39:00,8.6,8.61,8.59,8.59,141800
2024-05-21 14:40:00,8.59,8.6,8.59,8.59,46500
2024-05-21 14:41:00,8.59,8.6,8.58,8.59,118800
2024-05-21 14:42:00,8.58,8.59,8.58,8.58,66000
2024-05-21 14:43:00,8.58,8.59,8.58,8.59,76800
2024-05-21 14:44:00,8.58,8.59,8.58,8.58,49500
2024-05-21 14:45:00,8.58,8.59,8.58,8.59,55200
2024-05-21 14:46:00,8.58,8.6,8.58,8.59,46300
2024-05-21 14:47:00,8.59,8.62,8.59,8.62,130700
2024-05-21 14:48:00,8.62,8.62,8.59,8.59,60600
2024-05-21 14:49:00,8.59,8.6,8.59,8.6,56000
2024-05-21 14:50:00,8.6,8.61,8.6,8.6,32300
