day,open,high,low,close,volume
2024-05-21 10:20:00,5.77,5.77,5.77,5.77,21300
2024-05-21 10:21:00,5.78,5.78,5.78,5.78,500
2024-05-21 10:22:00,5.77,5.77,5.77,5.77,900
2024-05-21 10:23:00,5.78,5.78,5.77,5.78,4900
2024-05-21 10:24:00,5.77,5.77,5.77,5.77,100
2024-05-21 10:25:00,5.77,5.77,5.76,5.77,44600
2024-05-21 10:26:00,5.76,5.77,5.76,5.77,73400
2024-05-21 10:27:00,5.77,5.77,5.76,5.77,1200
2024-05-21 10:29:00,5.77,5.77,5.76,5.77,11000
2024-05-21 10:30:00,5.76,5.77,5.76,5.76,3300
2024-05-21 10:31:00,5.77,5.77,5.77,5.77,5100
2024-05-21 10:32:00,5.78,5.78,5.77,5.77,21600
2024-05-21 10:33:00,5.77,5.77,5.77,5.77,2300
2024-05-21 10:34:00,5.77,5.77,5.77,5.77,100
2024-05-21 10:35:00,5.77,5.77,5.76,5.76,9300
2024-05-21 10:36:00,5.76,5.77,5.76,5.77,14700
2024-05-21 10:37:00,5.77,5.78,5.77,5.78,1400
2024-05-21 10:38:00,5.78,5.78,5.77,5.78,7000
2024-05-21 10:39:00,5.78,5.79,5.78,5.78,6900
2024-05-21 10:40:00,5.78,5.79,5.78,5.79,800
2024-05-21 10:42:00,5.79,5.79,5.79,5.79,17300
2024-05-21 10:43:00,5.79,5.79,5.78,5.78,4400
2024-05-21 10:44:00,5.79,5.79,5.79,5.79,8100
2024-05-21 10:45:00,5.79,5.79,5.79,5.79,1600
2024-05-21 10:46:00,5.79,5.79,5.79,5.79,1800
2024-05-21 10:47:00,5.8,5.8,5.79,5.79,6200
2024-05-21 10:48:00,5.8,5.8,5.8,5.8,500
2024-05-21 10:49:00,5.79,5.79,5.78,5.78,55500
2024-05-21 10:50:00,5.79,5.79,5.79,5.79,2000
2024-05-21 10:51:00,5.78,5.79,5.78,5.78,1100
2024-05-21 10:52:00,5.78,5.78,5.78,5.78,200
2024-05-21 10:53:00,5.79,5.79,5.79,5.79,100
2024-05-21 10:54:00,5.79,5.79,5.78,5.79,2500
2024-05-21 10:55:00,5.79,5.79,5.79,5.79,300
2024-05-21 10:57:00,5.78,5.79,5.78,5.79,2500
2024-05-21 10:58:00,5.79,5.79,5.79,5.79,12900
2024-05-21 10:59:00,5.79,5.79,5.78,5.79,12500
2024-05-21 11:00:00,5.79,5.79,5.78,5.79,2100
2024-05-21 11:01:00,5.79,5.79,5.79,5.79,800
2024-05-21 11:02:00,5.79,5.79,5.79,5.79,300
2024-05-21 11:03:00,5.79,5.79,5.79,5.79,300
2024-05-21 11:04:00,5.79,5.79,5.79,5.79,15200
2024-05-21 11:05:00,5.8,5.8,5.79,5.8,1400
2024-05-21 11:06:00,5.8,5.8,5.8,5.8,1000
