day,open,high,low,close,volume
2024-05-21 13:50:00,8.11,8.13,8.11,8.13,77800
2024-05-21 13:51:00,8.12,8.12,8.11,8.12,72900
2024-05-21 13:52:00,8.11,8.12,8.11,8.11,68200
2024-05-21 13:53:00,8.11,8.11,8.1,8.11,13000
2024-05-21 13:54:00,8.1,8.11,8.1,8.11,4400
2024-05-21 13:55:00,8.1,8.12,8.1,8.11,33100
2024-05-21 13:56:00,8.11,8.12,8.11,8.12,23500
2024-05-21 13:57:00,8.12,8.12,8.11,8.11,6100
2024-05-21 13:58:00,8.11,8.12,8.11,8.11,9800
2024-05-21 13:59:00,8.12,8.12,8.11,8.12,3800
2024-05-21 14:00:00,8.11,8.12,8.11,8.11,43700
2024-05-21 14:01:00,8.11,8.12,8.1,8.11,26900
2024-05-21 14:02:00,8.11,8.11,8.1,8.1,23700
2024-05-21 14:03:00,8.11,8.11,8.1,8.11,10700
2024-05-21 14:04:00,8.11,8.11,8.09,8.09,58300
2024-05-21 14:05:00,8.09,8.1,8.09,8.1,13000
2024-05-21 14:06:00,8.1,8.11,8.1,8.1,41400
2024-05-21 14:07:00,8.1,8.11,8.09,8.09,32200
2024-05-21 14:08:00,8.1,8.1,8.09,8.1,8100
2024-05-21 14:09:00,8.1,8.1,8.09,8.1,30400
2024-05-21 14:10:00,8.1,8.11,8.09,8.1,31100
2024-05-21 14:11:00,8.1,8.11,8.09,8.1,28800
2024-05-21 14:12:00,8.1,8.1,8.09,8.1,28200
2024-05-21 14:13:00,8.1,8.1,8.09,8.1,9400
2024-05-21 14:14:00,8.1,8.1,8.09,8.1,5400
2024-05-21 14:15:00,8.1,8.11,8.09,8.1,31000
2024-05-21 14:16:00,8.1,8.11,8.09,8.09,57500
2024-05-21 14:17:00,8.09,8.1,8.09,8.1,9100
2024-05-21 14:18:00,8.1,8.1,8.09,8.1,102200
2024-05-21 14:19:00,8.09,8.1,8.08,8.09,18900
2024-05-21 14:20:00,8.09,8.1,8.09,8.09,11300
2024-05-21 14:21:00,8.09,8.1,8.09,8.09,12100
2024-05-21 14:22:00,8.09,8.1,8.08,8.09,46200
2024-05-21 14:23:00,8.09,8.09,8.08,8.08,11300
2024-05-21 14:24:00,8.09,8.1,8.08,8.09,36900
2024-05-21 14:25:00,8.09,8.11,8.09,8.1,85800
2024-05-21 14:26:00,8.1,8.12,8.1,8.12,161700
