day,open,high,low,close,volume
2024-05-21 13:53:00,8.54,8.55,8.54,8.54,14800
2024-05-21 13:54:00,8.54,8.55,8.54,8.54,8300
2024-05-21 13:55:00,8.54,8.55,8.54,8.54,10900
2024-05-21 13:56:00,8.54,8.55,8.54,8.54,23700
2024-05-21 13:57:00,8.54,8.55,8.54,8.55,11400
2024-05-21 13:58:00,8.54,8.55,8.53,8.53,33400
2024-05-21 13:59:00,8.53,8.54,8.53,8.53,12200
2024-05-21 14:00:00,8.53,8.54,8.53,8.54,25300
2024-05-21 14:01:00,8.53,8.54,8.53,8.54,45600
2024-05-21 14:02:00,8.53,8.54,8.53,8.54,39800
2024-05-21 14:03:00,8.53,8.54,8.53,8.54,35800
2024-05-21 14:04:00,8.53,8.54,8.53,8.54,31000
2024-05-21 14:05:00,8.54,8.54,8.53,8.54,19800
2024-05-21 14:06:00,8.53,8.55,8.53,8.53,26600
2024-05-21 14:07:00,8.53,8.54,8.53,8.54,13600
2024-05-21 14:08:00,8.53,8.54,8.53,8.54,8300
2024-05-21 14:09:00,8.53,8.54,8.53,8.54,11600
2024-05-21 14:10:00,8.53,8.54,8.53,8.54,28300
2024-05-21 14:11:00,8.53,8.54,8.53,8.53,14100
2024-05-21 14:12:00,8.53,8.55,8.53,8.54,27800
2024-05-21 14:13:00,8.53,8.54,8.53,8.54,39800
2024-05-21 14:14:00,8.54,8.54,8.53,8.54,48700
2024-05-21 14:15:00,8.53,8.54,8.53,8.54,35300
2024-05-21 14:16:00,8.53,8.55,8.53,8.54,22000
2024-05-21 14:17:00,8.54,8.54,8.53,8.53,20200
2024-05-21 14:18:00,8.53,8.53,8.53,8.53,17200
2024-05-21 14:19:00,8.53,8.54,8.53,8.53,10000
2024-05-21 14:20:00,8.53,8.54,8.53,8.53,100200
2024-05-21 14:21:00,8.53,8.54,8.52,8.53,47034
2024-05-21 14:22:00,8.52,8.53,8.52,8.52,39400
2024-05-21 14:23:00,8.52,8.53,8.52,8.53,54300
2024-05-21 14:24:00,8.52,8.53,8.52,8.53,20000
2024-05-21 14:25:00,8.53,8.54,8.52,8.53,16200
2024-05-21 14:26:00,8.53,8.54,8.53,8.54,9800
2024-05-21 14:27:00,8.53,8.54,8.53,8.54,8500
2024-05-21 14:28:00,8.54,8.54,8.53,8.54,16700
2024-05-21 14:29:00,8.54,8.54,8.53,8.53,14200
2024-05-21 14:30:00,8.54,8.54,8.53,8.53,25530
2024-05-21 14:31:00,8.54,8.54,8.53,8.53,51600
2024-05-21 14:32:00,8.53,8.54,8.53,8.54,10300
2024-05-21 14:33:00,8.54,8.54,8.53,8.54,2900
2024-05-21 14:34:00,8.53,8.54,8.53,8.54,12000
2024-05-21 14:35:00,8.53,8.55,8.53,8.54,66900
2024-05-21 14:36:00,8.54,8.55,8.53,8.54,19800
2024-05-21 14:37:00,8.54,8.55,8.54,8.55,21200
2024-05-21 14:38:00,8.54,8.55,8.54,8.54,16400
2024-05-21 14:39:00,8.54,8.55,8.54,8.54,13400
2024-05-21 14:40:00,8.55,8.55,8.53,8.53,72800
2024-05-21 14:41:00,8.53,8.54,8.53,8.54,13600
2024-05-21 14:42:00,8.53,8.54,8.53,8.53,110800
2024-05-21 14:43:00,8.53,8.54,8.53,8.53,23900
2024-05-21 14:44:00,8.53,8.54,8.53,8.53,29500
2024-05-21 14:45:00,8.53,8.54,8.53,8.54,39200
2024-05-21 14:46:00,8.54,8.54,8.53,8.53,53200
2024-05-21 14:47:00,8.53,8.54,8.53,8.53,6225
2024-05-21 14:48:00,8.54,8.54,8.53,8.53,21700
2024-05-21 14:49:00,8.53,8.54,8.53,8.53,16100
2024-05-21 14:50:00,8.53,8.54,8.53,8.54,9800
2024-05-21 14:51:00,8.54,8.54,8.53,8.54,47200
2024-05-21 14:52:00,8.53,8.54,8.53,8.54,55800
2024-05-21 14:53:00,8.54,8.55,8.53,8.54,16900
2024-05-21 14:54:00,8.54,8.55,8.54,8.54,19800
2024-05-21 14:55:00,8.55,8.55,8.54,8.54,40000
2024-05-21 14:56:00,8.55,8.56,8.54,8.55,29800
2024-05-21 14:57:00,8.56,8.56,8.54,8.55,29500
2024-05-21 15:00:00,8.55,8.55,8.55,8.55,79760
2024-05-22 09:31:00,8.58,8.58,8.54,8.55,44400
2024-05-22 09:32:00,8.55,8.56,8.53,8.55,31400
2024-05-22 09:33:00,8.55,8.56,8.54,8.56,39500
2024-05-22 09:34:00,8.56,8.57,8.54,8.57,32100
2024-05-22 09:35:00,8.56,8.58,8.56,8.58,59500
2024-05-22 09:36:00,8.58,8.58,8.56,8.58,36800
2024-05-22 09:37:00,8.57,8.58,8.56,8.57,60500
