day,open,high,low,close,volume
2024-05-21 13:52:00,4.74,4.74,4.73,4.73,48100
2024-05-21 13:53:00,4.73,4.74,4.73,4.74,4700
2024-05-21 13:54:00,4.74,4.74,4.73,4.74,12200
2024-05-21 13:55:00,4.74,4.74,4.73,4.74,15900
2024-05-21 13:56:00,4.74,4.74,4.73,4.73,9700
2024-05-21 13:57:00,4.74,4.74,4.73,4.73,5400
2024-05-21 13:58:00,4.73,4.74,4.73,4.74,79600
2024-05-21 13:59:00,4.73,4.74,4.73,4.74,13500
2024-05-21 14:00:00,4.74,4.74,4.73,4.74,22000
2024-05-21 14:01:00,4.74,4.74,4.73,4.73,50700
2024-05-21 14:02:00,4.73,4.74,4.72,4.73,216300
2024-05-21 14:03:00,4.73,4.73,4.7,4.72,1354900
2024-05-21 14:04:00,4.72,4.73,4.7,4.72,563900
2024-05-21 14:05:00,4.72,4.73,4.72,4.72,51600
2024-05-21 14:06:00,4.72,4.72,4.7,4.71,776700
2024-05-21 14:07:00,4.71,4.72,4.71,4.71,41700
2024-05-21 14:08:00,4.72,4.72,4.7,4.71,103500
2024-05-21 14:09:00,4.7,4.72,4.7,4.72,64000
2024-05-21 14:10:00,4.72,4.72,4.71,4.72,27200
2024-05-21 14:11:00,4.72,4.72,4.71,4.72,39000
2024-05-21 14:12:00,4.72,4.72,4.71,4.72,14500
2024-05-21 14:13:00,4.72,4.72,4.71,4.72,52900
2024-05-21 14:14:00,4.72,4.72,4.71,4.72,42000
2024-05-21 14:15:00,4.71,4.72,4.71,4.71,258900
2024-05-21 14:16:00,4.71,4.71,4.69,4.7,477100
2024-05-21 14:17:00,4.69,4.7,4.69,4.69,43200
2024-05-21 14:18:00,4.69,4.7,4.68,4.69,806100
2024-05-21 14:19:00,4.69,4.7,4.69,4.7,127600
2024-05-21 14:20:00,4.7,4.7,4.69,4.69,12100
2024-05-21 14:21:00,4.69,4.7,4.69,4.7,41100
2024-05-21 14:22:00,4.7,4.7,4.69,4.69,26900
2024-05-21 14:23:00,4.7,4.7,4.69,4.69,133000
2024-05-21 14:24:00,4.7,4.7,4.69,4.7,63100
2024-05-21 14:25:00,4.7,4.7,4.69,4.7,57300
2024-05-21 14:26:00,4.69,4.7,4.69,4.7,43200
