day,open,high,low,close,volume
2024-05-17 13:40:00,6.87,6.88,6.87,6.87,75900
2024-05-17 13:41:00,6.88,6.88,6.87,6.87,17900
2024-05-17 13:42:00,6.86,6.86,6.86,6.86,12400
2024-05-17 13:43:00,6.86,6.86,6.86,6.86,22700
2024-05-17 13:44:00,6.87,6.87,6.87,6.87,24300
2024-05-17 13:45:00,6.88,6.88,6.88,6.88,4500
2024-05-17 13:46:00,6.88,6.88,6.88,6.88,1000
2024-05-17 13:47:00,6.88,6.88,6.88,6.88,1400
2024-05-17 13:48:00,6.87,6.88,6.86,6.86,32300
2024-05-17 13:49:00,6.86,6.88,6.86,6.88,23800
2024-05-17 13:50:00,6.88,6.88,6.86,6.86,300
2024-05-17 13:51:00,6.86,6.88,6.86,6.88,10100
2024-05-17 13:53:00,6.87,6.87,6.87,6.87,500
2024-05-17 13:55:00,6.87,6.87,6.87,6.87,12200
2024-05-17 13:56:00,6.87,6.87,6.86,6.86,31700
2024-05-17 13:57:00,6.86,6.86,6.86,6.86,5000
2024-05-17 13:58:00,6.87,6.87,6.86,6.87,21100
2024-05-17 13:59:00,6.86,6.86,6.86,6.86,3500
2024-05-17 14:00:00,6.87,6.87,6.87,6.87,12300
2024-05-17 14:01:00,6.87,6.87,6.87,6.87,6900
2024-05-17 14:02:00,6.86,6.86,6.86,6.86,2800
2024-05-17 14:03:00,6.86,6.86,6.86,6.86,8900
2024-05-17 14:04:00,6.86,6.86,6.86,6.86,5500
2024-05-17 14:05:00,6.86,6.87,6.86,6.86,15100
2024-05-17 14:06:00,6.87,6.87,6.86,6.86,34300
2024-05-17 14:07:00,6.87,6.87,6.87,6.87,100
2024-05-17 14:08:00,6.86,6.86,6.86,6.86,21400
2024-05-17 14:09:00,6.86,6.87,6.86,6.86,25100
2024-05-17 14:10:00,6.86,6.86,6.86,6.86,3900
2024-05-17 14:11:00,6.86,6.86,6.86,6.86,100
2024-05-17 14:12:00,6.86,6.86,6.86,6.86,22700
2024-05-17 14:13:00,6.86,6.87,6.86,6.87,5600
2024-05-17 14:14:00,6.86,6.86,6.86,6.86,400
2024-05-17 14:15:00,6.85,6.85,6.85,6.85,50600
2024-05-17 14:16:00,6.85,6.85,6.85,6.85,22000
2024-05-17 14:17:00,6.84,6.86,6.84,6.85,67100
2024-05-17 14:18:00,6.85,6.85,6.85,6.85,100
2024-05-17 14:19:00,6.85,6.85,6.85,6.85,1300
2024-05-17 14:20:00,6.85,6.85,6.85,6.85,1200
2024-05-17 14:21:00,6.85,6.85,6.84,6.84,6100
2024-05-17 14:22:00,6.84,6.84,6.84,6.84,5500
2024-05-17 14:23:00,6.84,6.84,6.83,6.83,7100
2024-05-17 14:24:00,6.83,6.84,6.83,6.83,7200
2024-05-17 14:25:00,6.84,6.84,6.83,6.83,1600
2024-05-17 14:26:00,6.83,6.83,6.83,6.83,11400
2024-05-17 14:27:00,6.83,6.84,6.83,6.84,18600
2024-05-17 14:28:00,6.84,6.84,6.84,6.84,11200
2024-05-17 14:30:00,6.84,6.84,6.83,6.83,9800
2024-05-17 14:31:00,6.83,6.83,6.83,6.83,14300
2024-05-17 14:32:00,6.84,6.84,6.84,6.84,6500
2024-05-17 14:33:00,6.85,6.87,6.85,6.87,70900
2024-05-17 14:34:00,6.88,6.88,6.87,6.87,25700
2024-05-17 14:35:00,6.87,6.87,6.86,6.87,7300
2024-05-17 14:36:00,6.87,6.87,6.87,6.87,15600
2024-05-17 14:37:00,6.86,6.87,6.86,6.86,16900
2024-05-17 14:38:00,6.86,6.87,6.86,6.87,10200
2024-05-17 14:40:00,6.87,6.87,6.86,6.87,19300
2024-05-17 14:41:00,6.87,6.87,6.86,6.87,14400
2024-05-17 14:42:00,6.87,6.87,6.86,6.86,13100
2024-05-17 14:43:00,6.87,6.87,6.86,6.86,23700
2024-05-17 14:44:00,6.86,6.87,6.86,6.86,121300
2024-05-17 14:45:00,6.87,6.87,6.86,6.86,13200
2024-05-17 14:46:00,6.85,6.86,6.85,6.85,36500
2024-05-17 14:47:00,6.85,6.85,6.85,6.85,13400
2024-05-17 14:48:00,6.85,6.86,6.85,6.86,13900
2024-05-17 14:50:00,6.86,6.86,6.85,6.85,27500
2024-05-17 14:51:00,6.86,6.86,6.85,6.85,33200
2024-05-17 14:52:00,6.85,6.85,6.85,6.85,41400
2024-05-17 14:53:00,6.84,6.85,6.83,6.83,82000
2024-05-17 14:54:00,6.84,6.84,6.82,6.83,40100
2024-05-17 14:55:00,6.83,6.84,6.83,6.84,49900
2024-05-17 14:56:00,6.83,6.84,6.83,6.83,37800
2024-05-17 14:57:00,6.83,6.84,6.82,6.83,58800
2024-05-17 15:00:00,6.82,6.82,6.82,6.82,118153
2024-05-20 09:31:00,6.79,6.85,6.76,6.85,158000
2024-05-20 09:32:00,6.86,6.87,6.85,6.87,54100
2024-05-20 09:33:00,6.87,6.87,6.84,6.84,46000
2024-05-20 09:34:00,6.86,6.86,6.83,6.85,101700
2024-05-20 09:35:00,6.85,6.85,6.82,6.83,30500
2024-05-20 09:36:00,6.82,6.83,6.81,6.82,52500
2024-05-20 09:37:00,6.82,6.83,6.81,6.82,65400
2024-05-20 09:38:00,6.84,6.84,6.83,6.83,65600
2024-05-20 09:39:00,6.83,6.83,6.8,6.8,29300
2024-05-20 09:40:00,6.82,6.82,6.8,6.81,80300
2024-05-20 09:41:00,6.81,6.81,6.79,6.79,135200
2024-05-20 09:42:00,6.79,6.79,6.78,6.78,54900
2024-05-20 09:43:00,6.78,6.79,6.76,6.77,86000
2024-05-20 09:44:00,6.77,6.77,6.75,6.76,44000
2024-05-20 09:45:00,6.75,6.76,6.73,6.73,140500
2024-05-20 09:46:00,6.74,6.75,6.73,6.73,157000
2024-05-20 09:47:00,6.74,6.76,6.73,6.76,124600
2024-05-20 09:48:00,6.76,6.76,6.74,6.74,28800
2024-05-20 09:49:00,6.74,6.75,6.74,6.75,23400
2024-05-20 09:50:00,6.75,6.75,6.74,6.74,39700
2024-05-20 09:51:00,6.76,6.76,6.75,6.75,12900
2024-05-20 09:52:00,6.76,6.8,6.76,6.8,131800
2024-05-20 09:53:00,6.8,6.8,6.78,6.79,102000
2024-05-20 09:54:00,6.79,6.8,6.76,6.76,31300
2024-05-20 09:55:00,6.76,6.78,6.76,6.77,12700
2024-05-20 09:56:00,6.77,6.77,6.76,6.77,53300
2024-05-20 09:57:00,6.76,6.77,6.76,6.77,30300
2024-05-20 09:58:00,6.78,6.79,6.78,6.78,28900
2024-05-20 09:59:00,6.78,6.78,6.77,6.77,26800
2024-05-20 10:00:00,6.78,6.78,6.77,6.77,41700
